lat,long,Id,LotArea,balcony,loggia,veranda,kitchen,numberOfFloors,floor,numberOfRooms,numberOfBedrooms,ceilingHeight,numberOfBathrooms,SalePrice
41.7233307,44.7695406,232301,135,0,0,0,0,8,7,4,3,0,2,125000
41.7274332,44.737804,232287,142,0,0,0,0,11,4,6,4,0,2,110000
41.63383899999999,44.9179634,232252,172,0,0,0,0,2,0,5,3,0,1,75000
41.804792,44.80002100000001,232245,120,0,0,0,0,2,0,5,2,0,1,50000
41.7207921,44.7086281,232241,85,0,0,0,0,18,9,3,2,0,1,90000
41.8195116,44.789806,232240,130,0,0,0,0,1,0,5,3,0,1,65000
41.7243643,44.7657172,232234,122,0,0,0,0,16,3,3,2,0,1,110000
41.7252445,44.7562645,232233,113,0,0,0,0,11,10,3,2,0,1,110000
41.72563479999999,44.7338266,232231,120,0,0,0,0,6,5,4,3,0,1,93000
41.7223543,44.77386689999999,232230,110,0,0,0,0,8,7,3,2,0,1,90000
41.726893,44.77363769999999,232229,106,0,0,0,0,20,3,3,2,0,1,90000
41.7283363,44.7335547,232227,86,0,0,0,0,9,9,3,2,0,1,87000
41.7207921,44.7086281,232208,60,0,0,0,0,20,6,2,1,0,1,49900
41.7081487064295,44.84985441547847,232194,75,0,0,0,0,9,1,3,2,3,1,46000
41.6776799,44.835358,232175,169,1,0,1,0,15,12,4,3,0,2,143650
41.7202868,44.7406138,232148,130,0,0,0,0,12,9,4,3,0,1,130000
41.7236,44.7436801,232146,90,0,0,0,0,12,8,3,2,0,1,125000
41.7301953,44.75877879999999,232140,106,0,0,0,0,8,2,3,2,0,1,120000
41.6776799,44.835358,232137,61,1,0,0,0,15,3,3,2,0,1,45750
41.7233277,44.7415423,232135,97,0,0,0,0,8,6,4,3,0,1,118000
41.7203048,44.7174668,232133,90,0,0,0,0,9,7,3,2,0,1,115000
41.7150893,44.7700515,232129,107,0,0,0,0,14,8,2,1,0,2,105000
41.7197925,44.7393963,232127,100,0,0,0,0,6,2,3,2,0,1,100000
41.7267829,44.77139529999999,232126,109,0,0,0,0,8,5,4,3,0,1,97000
41.7233307,44.7695406,232125,140,0,0,0,0,7,5,3,2,0,1,95000
41.7170895,44.7693206,232121,120,0,0,0,0,4,4,5,4,0,2,89000
41.7236,44.7436801,232117,65,0,0,0,0,21,12,3,2,0,1,80000
41.7131432,44.7143903,253503,118,0,0,0,0,16,11,3,2,0,1,85000
41.7821899,44.73688809999999,253478,170,0,0,0,0,2,0,6,4,0,2,135000
41.791023,44.7304633,253475,172,0,0,0,0,2,0,6,3,0,2,75000
41.68234749999999,44.8232893,253454,52,1,0,0,0,12,8,2,1,0,1,60000
41.71476,44.7578233,253085,110,0,0,0,0,9,7,4,3,0,1,135000
41.69007810000001,44.6115119,252507,180,0,0,0,0,2,0,5,3,0,1,128000
41.7203048,44.7174668,252233,100,0,0,0,0,15,10,4,3,0,1,115000
41.7203048,44.7174668,252230,92,0,0,0,0,14,5,3,2,0,1,100000
41.7306263,44.7631878,252227,55,0,0,0,0,9,4,2,1,0,1,80000
41.7131432,44.7143903,252096,67,0,0,0,0,12,8,2,1,0,1,78000
41.7303459,44.75371579999999,251543,97,0,0,0,0,5,4,3,2,0,1,115000
41.7212878,44.7298345,251502,80,0,0,0,0,16,10,3,2,0,1,90000
41.7208733,44.7406653,251501,73,0,0,0,0,9,3,3,2,0,1,87000
41.7804769,44.7448495,251133,145,0,0,0,0,2,0,6,4,0,2,125000
41.78436140000001,44.7387345,251129,116,0,0,0,0,1,0,4,2,0,1,114000
